Gene ID,Gene symbol,Enzyme,UniProt,Enzymatic reactions
ENSG00000005339,CREBBP,histone acetyltransferase,Q92793,CoA[c] + histone-N6-acetyl-L-lysine[c] <=> acetyl-CoA[c] + histone-L-lysine[c]
ENSG00000005421,PON1,arylesterase,P27169,H2O[c] + homocysteine-thiolactone[c] <=> homocysteine[c]
ENSG00000006062,MAP3K14,non-specific serine/threonine protein kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,Fas-activated serine/threonine kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,Goodpasture-antigen-binding protein kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,IkappaB kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,cAMP-dependent protein kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,cGMP-dependent protein kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,protein kinase C,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,Ca2+/calmodulin-dependent protein kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,polo kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,cyclin-dependent kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,mitogen-activated protein kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,mitogen-activated protein kinase kinase kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,receptor protein serine/threonine kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,dual-specificity kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006062,MAP3K14,mitogen-activated protein kinase kinase,Q99558,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000006625,GGCT,gamma-glutamylcyclotransferase,O75223,gamma-glutamyl-cysteine[c] => 5-oxoproline[c] + cysteine[c]
ENSG00000006625,GGCT,gamma-glutamylcyclotransferase,O75223,(S)-2-aminobutanoate[c] + 5-oxoproline[c] <=> gamma-L-glutamyl-L-alpha-aminobutyrate[c]
ENSG00000006625,GGCT,gamma-glutamylcyclotransferase,O75223,5-oxoproline[c] + GSH[c] <=> gamma-glutamylglutathione[c]
ENSG00000009413,REV3L,DNA-directed DNA polymerase,O60673,0.25 dATP[c] + 0.25 dCTP[c] + 0.25 dGTP[c] + 0.25 dTTP[c] => DNA[c] + PPi[c]
ENSG00000010256,UQCRC1,aldehyde dehydrogenase [NAD(P)+],P31930,H+[m] + NADPH[m] + phenylacetate[m] <=> H2O[m] + NADP+[m] + phenylacetaldehyde[m]
ENSG00000010256,UQCRC1,quinol-cytochrome-c reductase,P31930,2 H+[m] + 2 ferricytochrome C[m] + ubiquinol[m] => 4 H+[c] + 2 ferrocytochrome C[m] + ubiquinone[m]
ENSG00000010671,BTK,receptor protein-tyrosine kinase,Q06187,ATP[c] + [protein]-L-tyrosine[c] => ADP[c] + [protein]-tyrosine-phosphate[c]
